cumPktCount,burstNum,burstSize,pktsBurst,pktsFlow,maxBytesFlow,fractionFlowBytes
1160,382,2465,3,2,1584,0.642596348884
1161,383,52,1,1,52,1.0
1164,384,668,3,1,556,0.832335329341
1165,385,1400,1,1,1400,1.0
1168,386,1879,3,1,1400,0.745077168707
1169,387,1504,1,1,1504,1.0
1189,388,22544,20,8,11288,0.500709723208
1190,389,1504,1,1,1504,1.0
1209,390,19536,19,11,14770,0.75604013104
1210,391,1484,1,1,1484,1.0
1213,392,1758,3,1,1504,0.855517633675
1219,393,4672,6,3,4512,0.965753424658
1221,394,381,2,1,325,0.853018372703
1222,395,1504,1,1,1504,1.0
1226,396,3396,4,1,1504,0.442873969376
1229,397,2556,3,1,1504,0.588419405321
1230,398,1504,1,1,1504,1.0
1234,399,1658,4,1,1504,0.907117008444
1235,400,1504,1,1,1504,1.0
1238,401,2980,3,1,1504,0.504697986577
1239,402,50,1,1,50,1.0
1240,403,434,1,1,434,1.0
1242,404,1560,2,1,1504,0.964102564103
1244,405,979,2,1,929,0.948927477017
1245,406,56,1,1,56,1.0
1247,407,112,2,1,56,0.5
1248,408,1502,1,1,1502,1.0
1257,409,3384,9,1,1504,0.444444444444
1258,410,347,1,1,347,1.0
1263,411,3080,5,1,1504,0.488311688312
1281,412,10958,18,4,5696,0.519802883738
1284,413,1536,3,1,1424,0.927083333333
1286,414,1480,2,1,1424,0.962162162162
1289,415,1544,3,1,1424,0.922279792746
1291,416,1634,2,1,1424,0.871481028152
1293,417,814,2,1,764,0.938574938575
1294,418,46,1,1,46,1.0
1298,419,2061,4,1,1504,0.72974284328
1300,420,3008,2,1,1504,0.5
1303,421,3054,3,2,3008,0.984937786509
1304,422,1504,1,1,1504,1.0
1305,423,56,1,1,56,1.0
1306,424,1424,1,1,1424,1.0
1309,425,833,3,1,731,0.877551020408
1310,426,1424,1,1,1424,1.0
1333,427,19600,23,6,8544,0.435918367347
1334,428,1504,1,1,1504,1.0
1335,429,1504,1,1,1504,1.0
1338,430,1620,3,1,1504,0.928395061728
1340,431,255,2,1,199,0.780392156863
1341,432,46,1,1,46,1.0
1344,433,2479,3,1,1504,0.606696248487
1347,434,4039,3,1,1504,0.372369398366
1348,435,1504,1,1,1504,1.0
1350,436,1311,2,1,1261,0.961861174676
1351,437,1504,1,1,1504,1.0
1355,438,2315,4,1,1256,0.542548596112
1357,439,3008,2,1,1504,0.5
1360,440,1742,3,1,1504,0.86337543054
1361,441,1504,1,1,1504,1.0
1369,442,3369,8,1,1504,0.446423271
1370,443,56,1,1,56,1.0
1371,444,56,1,1,56,1.0
1378,445,8160,7,2,3000,0.367647058824
1381,446,2164,3,1,1504,0.695009242144
1382,447,56,1,1,56,1.0
1383,448,1504,1,1,1504,1.0
1388,449,2937,5,1,1504,0.512087163773
1395,450,5480,7,1,1504,0.274452554745
1398,451,474,3,1,382,0.805907172996
1406,452,4796,8,1,1504,0.313594662219
1407,453,1484,1,1,1484,1.0
1411,454,2219,4,2,1605,0.723298783236
1412,455,1504,1,1,1504,1.0
1417,456,2261,5,2,1918,0.848297213622
1420,457,1298,3,1,890,0.685670261941
1421,458,1504,1,1,1504,1.0
1426,459,6080,5,1,1504,0.247368421053
1433,460,3846,7,1,1504,0.391055642226
1434,461,987,1,1,987,1.0
1435,462,68,1,1,68,1.0
1436,463,1504,1,1,1504,1.0
1439,464,162,3,2,112,0.691358024691
1440,465,1504,1,1,1504,1.0
1441,466,1504,1,1,1504,1.0
1443,467,755,2,1,551,0.729801324503
1445,468,102,2,1,56,0.549019607843
1449,469,4568,4,2,3008,0.658493870403
1455,470,4680,6,1,1504,0.321367521368
1456,471,56,1,1,56,1.0
1459,472,3064,3,1,1504,0.490861618799
1460,473,56,1,1,56,1.0
1461,474,1504,1,1,1504,1.0
1462,475,1504,1,1,1504,1.0
1487,476,22550,25,7,10528,0.466873614191
1488,477,1504,1,1,1504,1.0
1489,478,67,1,1,67,1.0
1490,479,1504,1,1,1504,1.0
1492,480,112,2,1,56,0.5
1493,481,52,1,1,52,1.0
1495,482,106,2,1,56,0.528301886792
1496,483,1504,1,1,1504,1.0
1502,484,536,6,1,141,0.263059701493
1505,485,158,3,2,112,0.708860759494
1508,486,148,3,2,92,0.621621621622
1510,487,112,2,1,56,0.5
1519,488,10622,9,5,7520,0.70796460177
1520,489,580,1,1,580,1.0
1523,490,2257,3,1,1504,0.666371289322
1527,491,208,4,2,112,0.538461538462
1534,492,4078,7,3,2412,0.591466405101
1535,493,56,1,1,56,1.0
1536,494,1504,1,1,1504,1.0
1539,495,166,3,1,68,0.409638554217
1540,496,1504,1,1,1504,1.0
1541,497,56,1,1,56,1.0
1550,498,2750,9,1,1504,0.546909090909
1553,499,152,3,1,56,0.368421052632
1558,500,1720,5,1,1504,0.874418604651
1562,501,1692,4,1,1504,0.888888888889
1563,502,1504,1,1,1504,1.0
1568,503,4445,5,1,1504,0.338357705287
1572,504,5700,4,2,2692,0.472280701754
1578,505,8076,6,5,7520,0.931154036652
1580,506,1550,2,1,1504,0.970322580645
1581,507,56,1,1,56,1.0
1583,508,124,2,1,68,0.548387096774
1585,509,1550,2,1,1504,0.970322580645
1586,510,1504,1,1,1504,1.0
1587,511,1504,1,1,1504,1.0
1588,512,1504,1,1,1504,1.0
1589,513,56,1,1,56,1.0
1590,514,1504,1,1,1504,1.0
1591,515,204,1,1,204,1.0
1594,516,1640,3,1,1504,0.917073170732
1598,517,4580,4,1,1504,0.328384279476
1600,518,102,2,1,56,0.549019607843
1601,519,1048,1,1,1048,1.0
1611,520,6932,10,1,1504,0.216964800923
1613,521,1554,2,1,1504,0.967824967825
1617,522,4580,4,2,3008,0.656768558952
1620,523,161,3,1,59,0.366459627329
1622,524,1560,2,1,1504,0.964102564103
1623,525,1504,1,1,1504,1.0
1626,526,1356,3,1,1244,0.917404129794
1632,527,4700,6,2,1626,0.345957446809
1634,528,1560,2,1,1504,0.964102564103
1635,529,50,1,1,50,1.0
1636,530,46,1,1,46,1.0
1637,531,1424,1,1,1424,1.0
1638,532,1504,1,1,1504,1.0
1662,533,25370,24,5,7520,0.296413086322
1671,534,6202,9,1,1504,0.242502418575
1673,535,132,2,1,76,0.575757575758
1674,536,1504,1,1,1504,1.0
1676,537,106,2,1,56,0.528301886792
1684,538,7278,8,2,2848,0.391316295686
1691,539,4700,7,2,3008,0.64
1700,540,7684,9,3,4512,0.587194169703
1704,541,3195,4,2,1635,0.511737089202
1705,542,56,1,1,56,1.0
1706,543,1504,1,1,1504,1.0
1708,544,96,2,1,50,0.520833333333
1709,545,46,1,1,46,1.0
1710,546,1444,1,1,1444,1.0
1711,547,46,1,1,46,1.0
1716,548,2965,5,1,1504,0.507251264755
1720,549,3605,4,2,1796,0.498196948682
1741,550,19327,21,5,7520,0.389092978734
1745,551,2455,4,2,2329,0.948676171079
1746,552,1504,1,1,1504,1.0
1747,553,1504,1,1,1504,1.0
1748,554,204,1,1,204,1.0
1750,555,128,2,2,128,1.0
1756,556,3208,6,2,2860,0.891521197007
1757,557,50,1,1,50,1.0
1761,558,200,4,4,200,1.0
